"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 21 10:10:08 PDT 2020","Sun Jun 21 10:10:08 PDT 2020","77","","Test whether hidden elements exist","","Test whether hidden elements exist","Header text always visible & should return true","Header text always visible & should return true",""
"passed","Sun Jun 21 10:10:08 PDT 2020","Sun Jun 21 10:10:08 PDT 2020","67","","Test whether hidden elements exist","","Test whether hidden elements exist","Set to opacity: 0; Still exists in DOM return true","Set to opacity: 0; Still exists in DOM return true",""
"passed","Sun Jun 21 10:10:06 PDT 2020","Sun Jun 21 10:10:08 PDT 2020","1540","","Test whether hidden elements exist","","Test whether hidden elements exist","Set to display: none; Still exists in DOM return true","Set to display: none; Still exists in DOM return true",""
"passed","Sun Jun 21 10:10:08 PDT 2020","Sun Jun 21 10:10:08 PDT 2020","73","","Test whether hidden elements exist","","Test whether hidden elements exist","Should be false, set to opacity: 0","Should be false, set to opacity: 0",""
"passed","Sun Jun 21 10:10:09 PDT 2020","Sun Jun 21 10:10:09 PDT 2020","92","","Test whether hidden elements exist","","Test whether hidden elements exist","should be visible within current viewport","should be visible within current viewport",""
"passed","Sun Jun 21 10:10:08 PDT 2020","Sun Jun 21 10:10:08 PDT 2020","77","","Test whether hidden elements exist","","Test whether hidden elements exist","Should be false, set to visibility: hidden","Should be false, set to visibility: hidden",""
"passed","Sun Jun 21 10:10:09 PDT 2020","Sun Jun 21 10:10:09 PDT 2020","74","","Test whether hidden elements exist","","Test whether hidden elements exist","should not be visible within current viewport","should not be visible within current viewport",""
"passed","Sun Jun 21 10:10:08 PDT 2020","Sun Jun 21 10:10:08 PDT 2020","77","","Test whether hidden elements exist","","Test whether hidden elements exist","Set to visibility: hidden; Still exists in DOM return true","Set to visibility: hidden; Still exists in DOM return true",""
"passed","Sun Jun 21 10:10:08 PDT 2020","Sun Jun 21 10:10:08 PDT 2020","109","","Test whether hidden elements exist","","Test whether hidden elements exist","Should be false, set to display: none","Should be false, set to display: none",""
"passed","Sun Jun 21 10:10:08 PDT 2020","Sun Jun 21 10:10:09 PDT 2020","67","","Test whether hidden elements exist","","Test whether hidden elements exist","No such element should return false","No such element should return false",""
